data,assunto,resumo
2026-07-15,Duvida sobre CDB,Cliente perguntou sobre prazo de resgate do CDB Liquidez Diaria.
2026-07-28,Planejamento de viagem,Cliente solicitou dicas para economizar R$ 3.000 ate o final do ano.
2026-09-02,Consulta Educativa,LLM respondeu
2026-09-02,Consulta Educativa,LLM respondeu
2026-09-04,Simulação Juros,Juros compostos simulados
2026-09-04,Simulação Juros,Juros compostos simulados
2026-09-04,Simulação Juros,Juros compostos simulados
2026-09-04,Consulta Educativa,LLM respondeu
2026-09-04,Análise Gastos,Resumo de transações
2026-09-04,Simulação Juros,Juros compostos simulados
2026-09-04,Consulta Educativa,LLM respondeu
2026-09-04,Simulação SAC,Financiamento simulado
2026-09-04,Consulta Educativa,LLM respondeu
2026-09-04,Simulação Juros,Juros compostos simulados
